mu sigma alpha beta het how
-0.0115137436 0.0001885849 -2.0 0 0.000004149598 rai
-0.0115137436 0.0001885849 -2.0 1000 0.000387635786 rai
-0.0115137436 0.0001885849 -2.0 3000 0.000388237330 rai
-0.0115137436 0.0001885849 -2.0 5000 0.000387639107 rai
-0.0115137436 0.0001885849 -2.0 7000 0.000387524740 rai
-0.0115137436 0.0001885849 -4.0 0 0.000004125863 rai
-0.0115137436 0.0001885849 -4.0 1000 0.000389222283 rai
-0.0115137436 0.0001885849 -4.0 3000 0.000386942371 rai
-0.0115137436 0.0001885849 -4.0 5000 0.000388866169 rai
-0.0115137436 0.0001885849 -4.0 7000 0.000388512000 rai
-0.0115137436 0.0002529633 0.0 0 0.000004203680 rai
-0.0115137436 0.0002529633 0.0 1000 0.000389266253 rai
-0.0115137436 0.0002529633 0.0 3000 0.000390386530 rai
-0.0115137436 0.0002529633 0.0 5000 0.000389962774 rai
-0.0115137436 0.0002529633 0.0 7000 0.000389862534 rai
-0.0115137436 0.0002529633 -2.0 0 0.000004084475 rai
-0.0115137436 0.0002529633 -2.0 1000 0.000385744017 rai
-0.0115137436 0.0002529633 -2.0 3000 0.000386935019 rai
-0.0115137436 0.0002529633 -2.0 5000 0.000387477436 rai
-0.0115137436 0.0002529633 -2.0 7000 0.000387287779 rai
-0.0115137436 0.0002529633 -4.0 0 0.000004115415 rai
-0.0115137436 0.0002529633 -4.0 1000 0.000387037953 rai
-0.0115137436 0.0002529633 -4.0 3000 0.000388172427 rai
-0.0115137436 0.0002529633 -4.0 5000 0.000385738665 rai
-0.0115137436 0.0002529633 -4.0 7000 0.000387504905 rai
-0.0115137436 0.0003393191 0.0 0 0.000004171824 rai
-0.0115137436 0.0003393191 0.0 1000 0.000389701702 rai
-0.0115137436 0.0003393191 0.0 3000 0.000390278554 rai
-0.0115137436 0.0003393191 0.0 5000 0.000389510380 rai
-0.0115137436 0.0003393191 0.0 7000 0.000390511417 rai
-0.0115137436 0.0003393191 -2.0 0 0.000004116372 rai
